Departamento de cursos,Total de curso
DEPTO ADMINISTRAÇÃO,3
FACULDADE DE AGRONOMIA E MEDICINA VETERINÁRIA,4
FACULDADE DE ARQUITETURA E URBANISMO,3
FACULDADE DE CIÊNCIA DA INFORMAÇÃO,4
DEPTO ARTES CÊNICAS,4
DEPTO ARTES VISUAIS,6
INSTITUTO DE ARTES,4
INSTITUTO DE CIÊNCIAS BIOLÓGICAS,5
DEPTO CIÊNCIAS DA COMPUTAÇÃO,4
INSTITUTO DE CIÊNCIA POLÍTICA,2
INSTITUTO DE GEOCIÊNCIAS,4
DEPTO CIÊNCIAS CONTÁBEIS ATUARIAIS,3
DEPTO ECONOMIA,2
FACULDADE DE PLANALTINA,9
DEPARTAMENTO DE ESTUDOS LATINO AMERICANO,2
DEPARTAMENTO DE SOCIOLOGIA,3
DEPTO ANTROPOLOGIA,2
DEPTO AUDIOVISUAIS E PUBLICIDADE,3
DEPTO DE COMUNICACAO ORGANIZACIONAL,2
DEPTO JORNALISMO,4
DEPARTAMENTO DE DESIGN (11.01.01.14.04),4
FACULDADE DE DIREITO,3
DEPTO MÚSICA,22
FACULDADE DE EDUCAÇÃO FÍSICA,4
DEPTO ENFERMAGEM,2
FACULDADE DE CEILÂNDIA,7
FACULDADE DO GAMA,7
DEPTO ENGENHARIA CIVIL E AMBIENTAL,3
FACULDADE DE  TECNOLOGIA,3
DEPTO ENGENHARIA ELETRICA,3
DEPTO ENGENHARIA FLORESTAL,2
DEPARTAMENTO DE ENGENHARIA MECANICA,2
INSTITUTO DE QUÍMICA,5
DEPTO ESTATÍSTICA,2
FACULDADE DE  CIÊNCIAS DA SAÚDE,3
DEPTO FILOSOFIA,4
INSTITUTO DE FÍSICA,5
DEPTO GEOGRAFIA,3
INSTITUTO DE CIÊNCIAS HUMANAS,2
DEPARTAMENTO DE GESTAO DE POLITICAS PUBL,2
DEPTO HISTÓRIA,4
DEPTO LÍNGUAS ESTRANGEIRAS E TRADUÇÃO,10
"DEPTO LINGUISTICA, PORT. LING. CLASSICAS",6
INSTITUTO DE LETRAS,3
DEPARTAMENTO DE MATEMÁTICA,4
FACULDADE DE MEDICINA,2
DEPTO NUTRICAO,2
DEPTO ODONTOLOGIA,2
FACULDADE DE EDUCAÇÃO,4
INSTITUTO DE PSICOLOGIA,4
INSTITUTO DE RELAÇÕES INTERNACIONAIS,2
DEPTO SAUDE COLETIVA,2
DEPTO SERVIÇO SOCIAL,3
CENTRO DE EXCELÊNCIA EM TURISMO,2
